,unidad_academica,nro_inscripcion,carrera,regular,cnt_readmisiones,calidad,fecha_ingreso_alumno,anio_plan_estudios
128,FCEQN,FCEQN-4340,103,S,0,A,12/18/2011,2005.0
129,FCEQN,FCEQN-4359,170,N,0,A,06/06/2015,2003.0
130,FCEQN,FCEQN-4371,SAC,N,2.0,P,05/05/2015,
131,FCEQN,FCEQN-4379,105,N,1.0,P,11/30/2010,2009.0
132,FCEQN,FCEQN-4392,108,S,0.0,A,02/11/2014,2011.0
133,FCEQN,FCEQN-4411,172,S,1.0,A,04/27/2011,2004.0
134,FCEQN,FCEQN-4455,103,S,1.0,P,02/01/2014,2004.0
135,FCEQN,FCEQN-4463,147,N,1.0,A,03/10/2014,2011.0
136,FCEQN,FCEQN-4551,103,S,1,P,03/17/2014,2009.0
137,FCEQN,5849,601,S,2.0,A,03/11/2006,2006.0
138,FCEQN,FCEQN-4593,103,N,1.0,P,02/04/2006,2011.0
139,FCEQN,FCEQN-4631,,S,1.0,A,02/04/2015,2003.0
140,FCEQN,FCEQN-4690,SAC,S,2.0,P,06/08/2015,2012.0
141,FCEQN,FCEQN-4700,SAC,N,1,P,05/14/2011,2008.0
142,FCEQN,FCEQN-4711,108,S,1.0,A,04/15/2012,2012.0
143,FCEQN,FCEQN-4749,600,N,1.0,A,05/14/2011,2007.0
144,FCEQN,FCEQN-4751,102,N,1.0,P,04/23/2012,2012.0
145,FCEQN,FCEQN-4864,314,S,0.0,A,03/15/2009,2006.0
146,FCEQN,FCEQN-4867,105,N,1.0,P,12/01/2012,2004.0
147,FCEQN,FCEQN-4870,170,N,2.0,P,03/16/2015,2009.0
148,FCEQN,FCEQN-4902,601,S,1.0,P,05/06/2013,
149,FCEQN,FCEQN-4904,105,N,2.0,P,04/23/2012,2010.0
150,FCEQN,728,172,S,1.0,A,03/30/2015,2007.0
151,FCEQN,FCEQN-4951,172,S,1.0,A,12/07/2011,2007.0
152,FCEQN,FCEQN-4987,111,N,2.0,P,03/14/2012,2003.0
153,FCEQN,FCEQN-5011,103,S,1,P,06/07/2011,2005.0
154,FCEQN,FCEQN-5025,143,N,1.0,P,04/09/2012,2004.0
155,FCEQN,FCEQN-5105,147,N,0.0,P,01/31/2012,
156,FCEQN,FCEQN-5110,601,S,1.0,P,04/05/2015,2011.0
157,FCEQN,FCEQN-5111,314,N,1,P,02/04/2014,2005.0
158,FCEQN,FCEQN-5113,106,N,0,A,12/21/2011,2003.0
159,FCEQN,FCEQN-5115,101,S,2.0,P,02/20/2007,2006.0
160,FCEQN,FCEQN-5116,601,N,1.0,A,04/10/2011,2007.0
161,FCEQN,FCEQN-5117,103,N,0.0,P,12/22/2012,2010.0
162,FCEQN,FCEQN-5120,104,S,0.0,P,05/09/2005,2005.0
163,FCEQN,FCEQN-5121,103,N,1,P,12/01/2007,2005.0
164,FCEQN,FCEQN-5122,105,S,0.0,P,05/03/2015,2000.0
165,FCEQN,FCEQN-5123,147,S,2.0,A,12/11/2007,2008.0
166,FCEQN,FCEQN-5124,147,S,1.0,A,02/01/2015,2003.0
167,FCEQN,FCEQN-5126,102,S,2.0,P,12/21/2014,2003.0
168,FCEQN,FCEQN-5128,143,S,0.0,A,03/30/2011,2004.0
169,FCEQN,FCEQN-5129,170,S,0.0,P,05/05/2015,
170,FCEQN,FCEQN-5131,108,N,1.0,A,04/27/2010,2014.0
171,FCEQN,FCEQN-5134,102,S,1.0,P,05/17/2010,2011.0
172,FCEQN,FCEQN-5135,143,N,0.0,P,12/03/2013,2010.0
173,FCEQN,FCEQN-5139,172,N,2.0,P,04/20/2013,2008.0
174,FCEQN,FCEQN-5140,,N,1,P,04/03/2013,2012.0
175,FCEQN,FCEQN-5141,106,S,1.0,P,12/12/2007,2006.0
176,FCEQN,FCEQN-5143,600,N,1,P,04/30/2014,2005.0
177,FCEQN,FCEQN-5144,114,S,2.0,P,12/04/2011,2010.0
178,FCEQN,FCEQN-5145,143,N,0.0,P,02/03/2014,2012.0
179,FCEQN,FCEQN-5148,105,N,0.0,P,12/05/2009,2011.0
180,FCEQN,FCEQN-5152,104,N,2.0,A,12/02/2013,2008.0
181,FCEQN,FCEQN-5160,143,N,1.0,A,04/14/2013,2003.0
182,FCEQN,FCEQN-5161,SAC,N,1,P,05/03/2014,2008.0
183,FCEQN,FCEQN-5162,104,S,1,P,12/05/2010,
184,FCEQN,FCEQN-5163,102,N,2.0,P,12/05/2009,2010.0
185,FCEQN,FCEQN-5164,170,S,0,A,04/03/2012,2005.0
186,FCEQN,FCEQN-5165,111,S,0,A,04/24/2013,2010.0
187,FCEQN,FCEQN-5170,104,S,2,P,03/22/2015,2000.0
188,FCEQN,FCEQN-5171,143,S,1.0,P,05/12/2012,2009.0
189,FCEQN,FCEQN-5174,601,S,1.0,P,12/06/2011,2008.0
190,FCEQN,FCEQN-5177,170,S,2,P,05/07/2012,2006.0
191,FCEQN,FCEQN-5180,108,N,1,P,12/20/2006,2009.0
192,FCEQN,FCEQN-5181,106,S,1.0,P,02/02/2015,2005.0
193,FCEQN,FCEQN-5182,106,N,2.0,P,03/10/2014,2004.0
194,FCEQN,FCEQN-5183,600,S,1.0,A,01/29/2012,
195,FCEQN,FCEQN-5197,170,N,0.0,P,02/07/2006,2014.0
196,FCEQN,FCEQN-5201,111,S,0.0,P,12/14/2011,2007.0
197,FCEQN,FCEQN-5203,103,N,2,P,09/08/2009,2004.0
198,FCEQN,FCEQN-5202,172,S,0.0,P,02/07/2011,
199,FCEQN,FCEQN-5206,104,S,0,A,04/07/2012,2009.0
200,FCEQN,FCEQN-5207,,N,1.0,A,12/13/2011,2000.0
201,FCEQN,FCEQN-5208,,S,2.0,A,09/08/2014,2014.0
202,FCEQN,FCEQN-5209,172,N,2.0,P,08/16/2006,2003.0
203,FCEQN,FCEQN-5217,143,S,1.0,A,03/01/2000,2008.0
204,FCEQN,FCEQN-5218,106,N,1,P,02/04/2012,2006.0
205,FCEQN,FCEQN-5220,105,S,1.0,A,03/26/2012,2014.0
206,FCEQN,FCEQN-5221,170,S,1.0,A,03/14/2012,2012.0
207,FCEQN,FCEQN-5235,172,N,1.0,P,02/17/2015,2006.0
208,FCEQN,FCEQN-5236,,N,0.0,P,02/02/2014,
209,FCEQN,FCEQN-5239,600,S,0,A,02/19/2012,2006.0
210,FCEQN,FCEQN-5240,172,S,1.0,P,04/04/2012,2006.0
211,FCEQN,FCEQN-5244,111,S,1.0,A,02/06/2011,2008.0
212,FCEQN,FCEQN-5246,108,S,1.0,A,04/01/2013,2000.0
213,FCEQN,FCEQN-5248,103,N,1.0,A,02/18/2012,2009.0
214,FCEQN,FCEQN-5250,601,N,1,P,04/24/2013,2004.0
215,FCEQN,FCEQN-5251,105,N,1.0,P,04/14/2009,2007.0
216,FCEQN,FCEQN-5255,106,N,2.0,P,03/15/2014,2014.0
217,FCEQN,FCEQN-5257,SAC,S,1,P,11/28/2011,2011.0
218,FCEQN,FCEQN-5260,111,N,1.0,A,02/27/2011,2012.0
219,FCEQN,FCEQN-5261,147,N,0.0,P,04/23/2011,2010.0
220,FCEQN,FCEQN-5263,104,N,2.0,P,02/26/2014,2012.0
221,FCEQN,FCEQN-5262,102,N,1,P,04/06/2015,2004.0
222,FCEQN,FCEQN-5265,108,S,1.0,P,02/08/2014,2003.0
223,FCEQN,FCEQN-5267,105,S,2.0,P,09/03/2013,2011.0
224,FCEQN,FCEQN-5268,170,S,1.0,P,12/13/2010,2010.0
225,FCEQN,FCEQN-5269,143,N,1.0,P,05/02/2004,2012.0
226,FCEQN,FCEQN-5272,108,N,0,A,12/21/2013,2008.0
227,FCEQN,FCEQN-5275,105,N,1,P,02/06/2013,2004.0
228,FCEQN,FCEQN-5276,114,N,0.0,A,12/03/2011,2000.0
229,FCEQN,FCEQN-5282,102,S,2.0,P,02/22/2014,2006.0
230,FCEQN,FCEQN-5283,172,N,1.0,P,03/28/2015,2011.0
231,FCEQN,FCEQN-5285,SAC,S,2.0,A,03/21/2011,2014.0
232,FCEQN,FCEQN-5286,147,S,2.0,P,03/30/2014,2008.0
233,FCEQN,FCEQN-5287,SAC,N,1,P,12/01/2014,2000.0
234,FCEQN,FCEQN-5294,101,S,1.0,A,02/10/2015,2005.0
235,FCEQN,FCEQN-5300,103,N,1.0,P,02/25/2012,2007.0
236,FCEQN,FCEQN-5302,143,N,0.0,P,12/06/2011,2003.0
237,FCEQN,FCEQN-5304,314,N,0.0,A,05/02/2005,2006.0
238,FCEQN,FCEQN-5305,172,S,1.0,P,12/05/2011,2009.0
239,FCEQN,FCEQN-5307,105,S,1.0,A,02/19/2012,2007.0
240,FCEQN,FCEQN-5308,106,N,1.0,A,12/01/2010,2000.0
241,FCEQN,FCEQN-5310,601,S,1,P,04/01/2015,2009.0
242,FCEQN,FCEQN-5311,172,S,0.0,A,02/01/2015,2010.0
243,FCEQN,FCEQN-5313,SAC,N,0.0,A,02/08/2015,2005.0
244,FCEQN,FCEQN-5314,170,N,0,A,05/03/2010,2003.0
245,FCEQN,FCEQN-5317,SAC,S,1.0,P,04/21/2010,2009.0
246,FCEQN,FCEQN-5318,108,N,1,P,04/10/2011,2006.0
247,FCEQN,FCEQN-5319,SAC,N,0,A,02/16/2014,2006.0
248,FCEQN,FCEQN-5320,108,S,2.0,A,06/13/2005,2007.0
249,FCEQN,FCEQN-5325,108,S,0,A,02/08/2012,2012.0
250,FCEQN,FCEQN-5337,SAC,S,1.0,A,04/07/2015,2006.0
251,FCEQN,FCEQN-5338,111,S,2.0,A,04/01/2015,2011.0
252,FCEQN,FCEQN-5339,104,N,1,P,02/02/2013,2014.0
253,FCEQN,FCEQN-5341,101,N,1.0,A,12/15/2014,2004.0
254,FCEQN,FCEQN-5343,111,S,1.0,P,04/17/2012,2014.0
255,FCEQN,FCEQN-5344,314,N,0.0,P,12/20/2010,2005.0
256,FCEQN,FCEQN-5345,172,S,2.0,A,12/07/2010,2011.0
257,FCEQN,FCEQN-5351,314,N,0.0,P,12/19/2007,2005.0
258,FCEQN,FCEQN-5356,143,S,1.0,A,05/09/2005,2011.0
259,FCEQN,FCEQN-5357,143,S,0.0,P,11/29/2011,2000.0
260,FCEQN,FCEQN-5363,105,S,2.0,A,02/25/2007,2008.0
261,FCEQN,FCEQN-5368,108,S,1.0,P,03/13/2012,2000.0
262,FCEQN,FCEQN-5373,600,S,2,P,03/10/2014,2004.0
263,FCEQN,FCEQN-5374,172,S,1.0,P,04/09/2012,2005.0
264,FCEQN,FCEQN-5375,105,S,2.0,P,03/28/2009,2008.0
265,FCEQN,FCEQN-5376,101,N,0.0,P,12/22/2012,2007.0
266,FCEQN,FCEQN-5377,601,N,1.0,A,04/06/2015,2012.0
267,FCEQN,FCEQN-5380,601,N,0,A,04/29/2013,2004.0
268,FCEQN,FCEQN-5381,103,S,0.0,A,02/07/2012,2004.0
269,FCEQN,FCEQN-5388,111,N,0.0,P,03/14/2015,2007.0
270,FCEQN,FCEQN-5400,106,N,0.0,A,12/30/2012,2007.0
271,FCEQN,FCEQN-5402,314,S,0,A,11/04/2013,2005.0
272,FCEQN,FCEQN-5412,105,N,2,P,12/05/2009,2005.0
273,FCEQN,FCEQN-5415,,N,2.0,P,03/12/2011,
274,FCEQN,FCEQN-5416,104,S,2.0,A,12/12/2011,2010.0
275,FCEQN,FCEQN-5421,102,S,2,P,12/12/2005,2008.0
276,FCEQN,FCEQN-5423,101,N,0.0,P,04/01/2013,
277,FCEQN,FCEQN-5424,170,N,2.0,A,12/22/2013,2003.0
278,FCEQN,FCEQN-5425,600,S,1.0,P,12/12/2010,2004.0
279,FCEQN,FCEQN-5428,143,S,0.0,P,02/09/2014,2012.0
280,FCEQN,FCEQN-5429,105,N,2.0,P,03/23/2015,
281,FCEQN,FCEQN-5434,143,N,0.0,A,02/07/2006,
282,FCEQN,FCEQN-5436,111,S,1.0,P,05/02/2004,2003.0
283,FCEQN,FCEQN-5442,147,S,2.0,A,05/02/2011,2005.0
284,FCEQN,FCEQN-5444,114,S,1.0,P,03/02/2011,2010.0
285,FCEQN,FCEQN-5445,102,N,1,P,12/04/2006,2011.0
286,FCEQN,FCEQN-5446,172,S,2.0,A,11/27/2011,2011.0
287,FCEQN,FCEQN-5455,101,S,1.0,P,12/05/2012,2012.0
288,FCEQN,FCEQN-5460,172,S,2.0,A,12/15/2012,
289,FCEQN,FCEQN-5463,114,N,0.0,A,04/24/2004,2000.0
290,FCEQN,FCEQN-5473,143,S,0.0,A,02/08/2015,
291,FCEQN,FCEQN-5475,101,N,0.0,A,02/23/2014,2008.0
292,FCEQN,FCEQN-5481,172,S,1.0,P,04/12/2014,2010.0
293,FCEQN,FCEQN-5484,102,N,2.0,P,04/20/2011,2005.0
294,FCEQN,FCEQN-5485,108,S,2,P,12/18/2007,2009.0
295,FCEQN,FCEQN-5487,172,S,1.0,A,02/18/2014,2004.0
296,FCEQN,FCEQN-5492,SAC,N,1,P,03/07/2012,
297,FCEQN,FCEQN-5496,103,N,1,P,04/13/2011,2000.0
298,FCEQN,FCEQN-5497,101,N,1.0,P,03/04/2014,2010.0
299,FCEQN,FCEQN-5499,108,S,0.0,P,03/12/2013,
300,FCEQN,FCEQN-5501,147,S,1.0,A,12/05/2011,2007.0
301,FCEQN,FCEQN-5502,143,S,0.0,A,05/17/2010,2008.0
302,FCEQN,FCEQN-5503,SAC,S,2.0,A,02/08/2011,
303,FCEQN,FCEQN-5504,600,N,0,A,12/27/2010,2012.0
304,FCEQN,FCEQN-5506,101,S,1,P,12/03/2013,2000.0
305,FCEQN,FCEQN-5507,103,S,1,P,04/04/2015,
306,FCEQN,FCEQN-5515,102,S,1.0,P,03/11/2012,2003.0
307,FCEQN,FCEQN-5520,147,S,1.0,A,03/21/2011,2003.0
308,FCEQN,FCEQN-5521,111,N,1,P,03/15/2015,2003.0
309,FCEQN,FCEQN-5522,314,S,1.0,P,12/16/1996,2008.0
310,FCEQN,FCEQN-5523,143,S,0.0,A,03/12/2011,2004.0
311,FCEQN,FCEQN-5524,314,S,1.0,A,05/11/2011,2008.0
312,FCEQN,FCEQN-5525,170,S,0.0,A,02/25/2014,2009.0
313,FCEQN,FCEQN-5526,143,N,2,P,03/15/2015,2012.0
314,FCEQN,FCEQN-5529,106,N,2.0,P,02/03/2014,2014.0
315,FCEQN,FCEQN-5530,600,S,0.0,A,12/18/2013,2004.0
316,FCEQN,FCEQN-5532,105,S,0.0,P,04/05/2010,2007.0
317,FCEQN,FCEQN-5534,102,N,1,P,04/18/2012,2000.0
318,FCEQN,FCEQN-5536,600,S,2.0,A,04/25/2010,2009.0
319,FCEQN,FCEQN-5541,601,N,2.0,A,04/26/2014,2008.0
320,FCEQN,FCEQN-5543,106,S,2.0,A,04/20/2011,2003.0
321,FCEQN,FCEQN-5544,172,N,1,P,02/17/2008,2005.0
322,FCEQN,FCEQN-5550,104,N,0,A,07/28/2001,2008.0
323,FCEQN,FCEQN-5551,111,S,1.0,A,04/26/2010,2009.0
324,FCEQN,FCEQN-5565,601,S,2,P,03/12/2011,2000.0
325,FCEQN,FCEQN-5567,SAC,N,1,P,03/26/2011,2003.0
326,FCEQN,FCEQN-5570,SAC,S,0.0,P,12/27/2010,2007.0
327,FCEQN,FCEQN-5571,103,N,1.0,A,04/17/2013,2008.0
328,FCEQN,FCEQN-5573,143,N,2.0,A,04/05/2014,2008.0
329,FCEQN,FCEQN-5578,114,S,1.0,A,02/08/2014,2012.0
330,FCEQN,FCEQN-5580,147,S,1.0,P,03/17/2013,2007.0
331,FCEQN,FCEQN-5581,,N,0.0,P,04/17/2011,2009.0
332,FCEQN,FCEQN-5584,104,N,1,P,03/23/2014,2008.0
333,FCEQN,FCEQN-5585,314,S,1,P,02/01/2014,2007.0
334,FCEQN,FCEQN-5588,105,N,1.0,A,11/27/2011,2008.0
335,FCEQN,FCEQN-5594,600,N,1.0,A,04/09/2012,2008.0
336,FCEQN,FCEQN-5595,SAC,N,2,P,03/28/2015,2005.0
337,FCEQN,FCEQN-5600,108,S,1.0,P,12/14/2013,
338,FCEQN,FCEQN-5602,SAC,N,1.0,P,12/26/2010,2010.0
339,FCEQN,FCEQN-5604,101,S,0.0,A,,2003.0
340,FCEQN,FCEQN-5605,170,S,2.0,P,12/15/2013,2003.0
341,FCEQN,FCEQN-5606,106,S,0.0,A,12/21/2013,2004.0
342,FCEQN,FCEQN-5612,,N,1,P,08/31/2013,2006.0
343,FCEQN,FCEQN-5613,143,N,1,P,04/22/2012,2004.0
344,FCEQN,FCEQN-5614,101,S,1.0,A,04/23/2013,2003.0
345,FCEQN,FCEQN-5615,601,N,0,A,12/01/2007,2014.0
346,FCEQN,FCEQN-5617,600,S,1.0,P,02/05/2011,2011.0
347,FCEQN,FCEQN-5622,106,N,2,P,04/20/2014,2003.0
348,FCEQN,FCEQN-5625,SAC,N,0.0,P,02/04/2014,
349,FCEQN,FCEQN-5627,147,S,0.0,A,12/01/2012,2003.0
350,FCEQN,FCEQN-5629,103,N,0,A,04/20/2011,
351,FCEQN,FCEQN-5631,103,N,2,P,12/18/2007,2010.0
352,FCEQN,FCEQN-5324,SAC,S,2.0,A,03/23/2014,
353,FCEQN,FCEQN-5636,108,N,1.0,P,04/06/2015,2000.0
354,FCEQN,FCEQN-5639,,N,0,A,02/08/2015,2008.0
355,FCEQN,FCEQN-5641,108,N,1,P,02/09/2013,2014.0
356,FCEQN,FCEQN-5648,103,N,1.0,P,05/02/2004,2005.0
357,FCEQN,FCEQN-5650,143,S,0,A,12/11/2011,2000.0
358,FCEQN,FCEQN-5651,SAC,N,1.0,P,12/10/2012,2000.0
359,FCEQN,FCEQN-5652,SAC,N,2.0,A,12/12/2005,2004.0
360,FCEQN,FCEQN-5667,106,N,1,P,05/03/2015,2012.0
361,FCEQN,FCEQN-5668,SAC,S,2.0,P,08/31/2013,2006.0
362,FCEQN,FCEQN-5671,SAC,N,2,P,03/16/2014,2005.0
363,FCEQN,FCEQN-5672,104,S,1.0,P,10/08/2008,2010.0
364,FCEQN,FCEQN-5679,114,N,1.0,A,05/17/2010,2007.0
365,FCEQN,FCEQN-5683,,N,0.0,A,03/03/2014,2010.0
366,FCEQN,FCEQN-5686,105,N,1.0,P,05/10/2011,2000.0
367,FCEQN,FCEQN-5687,314,S,1.0,P,11/24/2012,2006.0
368,FCEQN,FCEQN-5692,172,S,2.0,A,06/06/2015,2007.0
